volantino,insegna,categoria,prodotto,formato,quantita,unita,prezzo,prezzo_unita,dal,al,note
bennet0903,Bennet,Asciugatutto,Asciugatutto in carta riciclata – Bennet Eco,3 maxi rotoli,3,al rotolo,2.49,0.830,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (1,25) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Bagnoschiuma,Bagnodoccia Cosmesi Naturale – Bennet,400 ml,0.4,al litro,2.90,7.250,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (1,45) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Bagnoschiuma,Ricarica sapone liquido fiori bianchi – Bennet,"1,5 litri",1.5,al litro,2.98,1.987,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (1,49) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Bibite,Acqua di cocco – Vitacoco,330 ml,0.33,al litro,1.99,6.030,2026-09-03,2026-09-16,"−20%, prima 2,49."
bennet0903,Bennet,Bibite,Acqua tonica – Bennet,1 litro,1,al litro,0.90,0.900,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (0,45) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Bibite,Aloe Original Tropical,"1,5 litri",1.5,al litro,3.59,2.393,2026-09-03,2026-09-16,"−20%, prima 4,49."
bennet0903,Bennet,Bibite,Aranciata – Bennet,"1,5 litri",1.5,al litro,0.95,0.633,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (0,48) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Bibite,Bevanda Vitalita Difesa – Valfrutta,1 litro,1,al litro,1.39,1.390,2026-09-03,2026-09-16,"−30% SOLO CON LA CARTA BENNET CLUB, prima 1,99."
bennet0903,Bennet,Bibite,Bevanda alla frutta senza zuccheri aggiunti ViviSi – Bennet,1 litro,1,al litro,1.40,1.400,2026-09-03,2026-09-16,"−20%, prima 1,75."
bennet0903,Bennet,Bibite,Bevanda alla frutta – Bennet,"1,5 litri",1.5,al litro,1.43,0.953,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,79."
bennet0903,Bennet,Bibite,Bevanda senza zuccheri aggiunti – Santal,1 litro,1,al litro,1.39,1.390,2026-09-03,2026-09-16,"−30%, prima 1,99."
bennet0903,Bennet,Bibite,Cola – Bennet,"1,5 litri",1.5,al litro,0.99,0.660,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (0,50) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Bibite,Dolce di Natura senza zuccheri aggiunti – Santal,600 ml (3 × 200 ml),0.6,al litro,1.25,2.083,2026-09-03,2026-09-16,"−30%, prima 1,79."
bennet0903,Bennet,Bibite,Gusto Tropical – Bennet,"1,5 litri",1.5,al litro,1.19,0.793,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (0,60) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Bibite,Nettare di frutta I Frutteti di Oswald – Zuegg,750 ml (6 × 125 ml),0.75,al litro,4.79,6.387,2026-09-03,2026-09-16,"−26%, prima 6,48."
bennet0903,Bennet,Bibite,Nettare di frutta – Pfanner,1 litro,1,al litro,1.36,1.360,2026-09-03,2026-09-16,"−30%, prima 1,95."
bennet0903,Bennet,Bibite,Nettare di frutta – Zuegg,600 ml (3 × 200 ml),0.6,al litro,1.25,2.083,2026-09-03,2026-09-16,"−30%, prima 1,79."
bennet0903,Bennet,Bibite,Puro succo di frutta – Innocent,900 ml,0.9,al litro,2.65,2.944,2026-09-03,2026-09-16,
bennet0903,Bennet,Bibite,Succo Ace o melagrana 100% – LOME,500 ml,0.5,al litro,2.84,5.680,2026-09-03,2026-09-16,"−25%, prima 3,79."
bennet0903,Bennet,Bibite,Succo di mela – Bennet,1 litro,1,al litro,2.23,2.230,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 2,79."
bennet0903,Bennet,Bibite,Succo e polpa di albicocca biologico – Bennet Bio,600 ml (3 × 200 ml),0.6,al litro,1.99,3.317,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (1,00) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Bibite,Succo e polpa di frutta – Bennet,1 litro,1,al litro,1.51,1.510,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,89."
bennet0903,Bennet,Bibite,Succo e polpa di frutta – Bennet,"1,2 litri (6 × 200 ml)",1.2,al litro,1.96,1.633,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 2,45."
bennet0903,Bennet,Bibite,Succo e polpa di frutta – Bennet,750 ml (6 × 125 ml),0.75,al litro,1.96,2.613,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 2,45."
bennet0903,Bennet,Bibite,The al limone – Bennet,"1,5 litri",1.5,al litro,0.95,0.633,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (0,48) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Bibite,The alla pesca o al limone – Bennet,"1,2 litri (6 × 200 ml)",1.2,al litro,1.34,1.117,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,68."
bennet0903,Bennet,Bibite,The classico o zero – Fuzetea,"1,25 litri",1.25,al litro,1.09,0.872,2026-09-03,2026-09-16,"−31%, prima 1,59."
bennet0903,Bennet,Bibite,The freddo limone o pesca – Estathe,600 ml (3 × 200 ml),0.6,al litro,1.59,2.650,2026-09-03,2026-09-16,
bennet0903,Bennet,Biscotti,Baiocchi classici – Mulino Bianco,168 g,0.168,al kg,1.25,7.440,2026-09-03,2026-09-16,"−24%, prima 1,65."
bennet0903,Bennet,Biscotti,Biscotti Digestive – Sapori & Piaceri,400 g,0.4,al kg,1.25,3.125,2026-09-03,2026-09-16,"−30%, prima 1,79."
bennet0903,Bennet,Biscotti,Biscotti Harry Potter – Witor's,200 g,0.2,al kg,1.19,5.950,2026-09-03,2026-09-16,"−50%, prima 2,39."
bennet0903,Bennet,Biscotti,Biscotti Pan di Stelle o Abbracci – Mulino Bianco,350 g,0.35,al kg,1.89,5.400,2026-09-03,2026-09-16,"−24%, prima 2,49."
bennet0903,Bennet,Biscotti,Biscotti Salute integrali – Trerossi,500 g,0.5,al kg,2.30,4.600,2026-09-03,2026-09-16,"−34%, prima 3,49."
bennet0903,Bennet,Biscotti,Biscotti Sempre Con Te – Colussi,288 g,0.288,al kg,1.49,5.174,2026-09-03,2026-09-16,"−25%, prima 1,99."
bennet0903,Bennet,Biscotti,Biscotti ZeroPiu – Balocco,230 g,0.23,al kg,1.49,6.478,2026-09-03,2026-09-16,"−25%, prima 1,99."
bennet0903,Bennet,Biscotti,Biscotti ai cereali ricchi di fibre ViviSi – Bennet,250 g,0.25,al kg,1.00,4.000,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,25."
bennet0903,Bennet,Biscotti,Biscotti al malto e miele Osvego – Gentilini,250 g,0.25,al kg,1.34,5.360,2026-09-03,2026-09-16,"−25% SOLO CON LA CARTA BENNET CLUB, prima 1,79."
bennet0903,Bennet,Biscotti,Biscotti colazione Grisbi,225 g,0.225,al kg,1.89,8.400,2026-09-03,2026-09-16,"−35% SOLO CON LA CARTA BENNET CLUB, prima 2,92."
bennet0903,Bennet,Biscotti,Biscotti con burro salato e miele Alveari – Mulino Bianco,300 g,0.3,al kg,1.48,4.933,2026-09-03,2026-09-16,"−35% SOLO CON LA CARTA BENNET CLUB, prima 2,27."
bennet0903,Bennet,Biscotti,Biscotti con cuor di latte – Oro Ciok,120 g,0.12,al kg,1.99,16.583,2026-09-03,2026-09-16,"−20%, prima 2,49."
bennet0903,Bennet,Biscotti,Biscotti con riso Dolce Benessere – Fazzi,250 g,0.25,al kg,1.75,7.000,2026-09-03,2026-09-16,"−20%, prima 2,19."
bennet0903,Bennet,Biscotti,Biscotti di mais e riso biologico Krumi's Cacao – Sarchio,200 g,0.2,al kg,2.98,14.900,2026-09-03,2026-09-16,"−25%, prima 3,98. Senza glutine."
bennet0903,Bennet,Biscotti,Biscotti integrali FibrExtra – Misura,630 g,0.63,al kg,2.99,4.746,2026-09-03,2026-09-16,"−25%, prima 3,99."
bennet0903,Bennet,Biscotti,Biscotti integrali Pain Croute – Lazzaroni,300 g,0.3,al kg,1.25,4.167,2026-09-03,2026-09-16,"−24%, prima 1,65."
bennet0903,Bennet,Biscotti,Biscotti proteici integrali senza zuccheri – Rovai,250 g,0.25,al kg,2.50,10.000,2026-09-03,2026-09-16,"−24%, prima 3,29."
bennet0903,Bennet,Biscotti,Biscotti secchi Petit – Bennet,500 g,0.5,al kg,1.44,2.880,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,80."
bennet0903,Bennet,Biscotti,Biscotti senza zuccheri aggiunti Buoni Cosi – Galbusera,400 g,0.4,al kg,2.38,5.950,2026-09-03,2026-09-16,"−30% SOLO CON LA CARTA BENNET CLUB, prima 3,40."
bennet0903,Bennet,Biscotti,Biscotto Novellino light – Campiello,350 g,0.35,al kg,1.25,3.571,2026-09-03,2026-09-16,"−30%, prima 1,79."
bennet0903,Bennet,Biscotti,Biscotto ai grani antichi senza glutine – Cereal,150 g,0.15,al kg,2.55,17.000,2026-09-03,2026-09-16,"−20%, prima 3,19."
bennet0903,Bennet,Biscotti,Cereali G granola e frolla – Galbusera,300 g,0.3,al kg,1.75,5.833,2026-09-03,2026-09-16,"−20%, prima 2,19."
bennet0903,Bennet,Biscotti,Cookies al cioccolato al banco,al kg,1,al kg,14.20,14.200,2026-09-03,2026-09-16,"Prezzo del banco della pasticceria, non e un'offerta a tempo."
bennet0903,Bennet,Biscotti,Cookies double chocolate fondente e al latte – Bennet,150 g,0.15,al kg,1.55,10.333,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,94."
bennet0903,Bennet,Biscotti,Frollini classici – Bennet,700 g,0.7,al kg,1.99,2.843,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 2,49."
bennet0903,Bennet,Biscotti,Frollini con gocce di cioccolato – Bennet,700 g,0.7,al kg,1.99,2.843,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 2,49."
bennet0903,Bennet,Biscotti,Frollini ripieni – Bennet,150 g,0.15,al kg,1.10,7.333,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,38."
bennet0903,Bennet,Biscotti,Mirtillo Biscuit senza zuccheri aggiunti – Nattura,125 g,0.125,al kg,2.28,18.240,2026-09-03,2026-09-16,"−21%, prima 2,89."
bennet0903,Bennet,Biscotti,Savoiardi classici – Bennet,300 g,0.3,al kg,1.49,4.967,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (0,75) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Biscotti,Snack biscotto Pick Up!,140 g (5 pezzi),0.14,al kg,1.89,13.500,2026-09-03,2026-09-16,"−30%, prima 2,70."
bennet0903,Bennet,Burro,Burro dei pascoli di montagna – Sciaves,250 g,0.25,al kg,2.78,11.120,2026-09-03,2026-09-16,"−30% SOLO CON LA CARTA BENNET CLUB, prima 3,98."
bennet0903,Bennet,Burro,Burro monoporzione – Bennet,125 g (12 porzioni),0.125,al kg,1.98,15.840,2026-09-03,2026-09-16,"−29% SOLO CON LA CARTA BENNET CLUB, prima 2,79."
bennet0903,Bennet,Caffè,Caffè 100% arabica classico o decaffeinato – Illy,185 g,0.185,al kg,4.89,26.432,2026-09-03,2026-09-16,
bennet0903,Bennet,Caffè,Caffè in grani Gran Cremoso per espresso – Bennet,1 kg,1,al kg,10.39,10.390,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 12,99."
bennet0903,Bennet,Caffè,Caffè in grani Granaroma – Vergnano,1 kg,1,al kg,13.49,13.490,2026-09-03,2026-09-16,"−30%, prima 19,28."
bennet0903,Bennet,Caffè,Caffè macinato classico decaffeinato – HAG,250 g,0.25,al kg,3.80,15.200,2026-09-03,2026-09-16,"−20%, prima 4,75."
bennet0903,Bennet,Caffè,Caffè macinato per moka Gusto e Aroma – Bennet,500 g (2 × 250 g),0.5,al kg,5.59,11.180,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 6,99."
bennet0903,Bennet,Caffè,Caffè macinato per moka Tradizionale – Pellini,500 g (2 × 250 g),0.5,al kg,6.29,12.580,2026-09-03,2026-09-16,"−30% SOLO CON LA CARTA BENNET CLUB, prima 8,99."
bennet0903,Bennet,Caffè,Caffè solubile per latte – Nescafe,200 g,0.2,al kg,5.99,29.950,2026-09-03,2026-09-16,"−30%, prima 8,57. E solubile, non macinato."
bennet0903,Bennet,Caffè,Capsule compatibili Nespresso – L'OR Espresso,156 g (30 capsule),0.156,al kg,7.98,51.154,2026-09-03,2026-09-16,"−25%, prima 10,65. Sono capsule: al chilo costano molto piu del macinato."
bennet0903,Bennet,Carta igienica,Carta igienica in carta riciclata – Bennet Eco,4 maxi rotoli,4,al rotolo,2.99,0.748,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (1,50) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Carta igienica,Rotoli maxi carta igienica 2 veli – Bennet,8 rotoli,8,al rotolo,5.49,0.686,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (2,75) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Cereali,Cereali Original Fitness – Nestle,375 g,0.375,al kg,1.79,4.773,2026-09-03,2026-09-16,"−40% SOLO CON LA CARTA BENNET CLUB, prima 2,99."
bennet0903,Bennet,Cereali,Cereali integrali al miele – Cheerios,330 g,0.33,al kg,1.99,6.030,2026-09-03,2026-09-16,"−33%, prima 2,98."
bennet0903,Bennet,Cereali,Cereali palline – Nesquik,375 g,0.375,al kg,1.99,5.307,2026-09-03,2026-09-16,"−35%, prima 3,07."
bennet0903,Bennet,Cereali,Crispy Kids Pillows – Bennet,375 g,0.375,al kg,2.24,5.973,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 2,80."
bennet0903,Bennet,Cereali,Granola Extra – Kellogg's,500 g,0.5,al kg,2.99,5.980,2026-09-03,2026-09-16,"−30%, prima 4,28."
bennet0903,Bennet,Cereali,Granola biologica con frutta secca – Bennet,400 g,0.4,al kg,3.99,9.975,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (2,00) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Cereali,Granola senza zuccheri aggiunti Natu – Rigoni di Asiago,250 g,0.25,al kg,2.99,11.960,2026-09-03,2026-09-16,"−25%, prima 3,99."
bennet0903,Bennet,Cereali,Muesli croccante – Bennet,325 g,0.325,al kg,2.15,6.615,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 2,69."
bennet0903,Bennet,Cereali,Porridge Vitalis – Cameo,54 g,0.054,al kg,0.98,18.148,2026-09-03,2026-09-16,"−30%, prima 1,40. E una monoporzione."
bennet0903,Bennet,Conserve,Carciofini tagliati sott'olio – Bennet,280 g,0.28,al kg,3.79,13.536,2026-09-03,2026-09-16,"E il peso col liquido di governo. Prezzo di listino, col buono sconto del 50% (1,90) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Creme,"Crema al cacao, nocciole e granella di biscotto – Pan di Stelle",380 g,0.38,al kg,2.99,7.868,2026-09-03,2026-09-16,"−25%, prima 3,99."
bennet0903,Bennet,Creme,Crema alla nocciola e cacao o bigusto – Bennet,400 g,0.4,al kg,2.15,5.375,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 2,69."
bennet0903,Bennet,Creme,Crema cacao e nocciole biologica – Germinal,250 g,0.25,al kg,3.96,15.840,2026-09-03,2026-09-16,"−29%, prima 5,59."
bennet0903,Bennet,Creme,Crema di arachidi Peanut Butter – Fiorentini,350 g,0.35,al kg,2.95,8.429,2026-09-03,2026-09-16,"−20%, prima 3,69."
bennet0903,Bennet,Creme,Crema spalmabile 100% mandorle – Bennet,300 g,0.3,al kg,4.39,14.633,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 5,49."
bennet0903,Bennet,Creme,Crema spalmabile 100% pistacchio – Pisti,150 g,0.15,al kg,5.59,37.267,2026-09-03,2026-09-16,"−20%, prima 6,99."
bennet0903,Bennet,Farina,Farina di grano tenero tipo 00 – Molino Rossetto,750 g,0.75,al kg,1.39,1.853,2026-09-03,2026-09-16,"−25%, prima 1,86."
bennet0903,Bennet,Farina,Farina tipo 00 di grano tenero – Bennet,1 kg,1,al kg,0.85,0.850,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (0,43) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Formaggio,Crescenza – Bennet,165 g,0.165,al kg,1.99,12.061,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (1,00) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Formaggio,Pecorino Romano DOP – Bennet,200 g,0.2,al kg,4.99,24.950,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (2,50) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Formaggio,Primosale – Bennet,200 g,0.2,al kg,2.59,12.950,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (1,30) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Frutta,Banane biologiche – Bennet Bio,700 g,0.7,al kg,1.95,2.786,2026-09-03,2026-09-16,"Il volantino stampa 2,79 al kg. Danno anche un buono sconto del 50%, pari a 0,98, da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Frutta,Macedonia – F.lli Orsero,150 g,0.15,al kg,2.28,15.200,2026-09-03,2026-09-16,E frutta gia tagliata e confezionata: al chilo costa molto piu della frutta intera.
bennet0903,Bennet,Gamberi,Gamberi rosa del Mediterraneo sgusciati surgelati – Bennet,200 g,0.2,al kg,5.99,29.950,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (3,00) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Gelato,Maxi Stecchi – Bennet,350 g (4 pezzi),0.35,al kg,3.99,11.400,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (2,00) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Grana,Parmigiano Reggiano grattugiato – Bennet,100 g,0.1,al kg,2.99,29.900,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (1,50) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Latte,Latte Accadi senza lattosio 1% di grassi – Granarolo,1 litro,1,al litro,1.29,1.290,2026-09-03,2026-09-16,"−35%, prima 1,99."
bennet0903,Bennet,Latte,Latte UHT parzialmente scremato – Bennet,500 ml,0.5,al litro,0.78,1.560,2026-09-03,2026-09-16,"−21% SOLO CON LA CARTA BENNET CLUB, prima 0,99. Il volantino stampa 1,56 al litro."
bennet0903,Bennet,Latte,Latte alta digeribilita senza lattosio – Zymil,3 litri (6 × 500 ml),3,al litro,5.64,1.880,2026-09-03,2026-09-16,"−32%, prima 8,34. Il volantino stampa 1,88 al litro."
bennet0903,Bennet,Latte,Latte di capra parzialmente scremato – Girau,1 litro,1,al litro,2.99,2.990,2026-09-03,2026-09-16,"−25%, prima 3,99. E latte di capra, non vaccino."
bennet0903,Bennet,Latte,Latte intero o scremato – Parmalat,1 litro,1,al litro,1.59,1.590,2026-09-03,2026-09-16,"−20%, prima 1,99."
bennet0903,Bennet,Latte,Latte microfiltrato – Bennet,1 litro,1,al litro,1.19,1.190,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,49."
bennet0903,Bennet,Latte,Latte parzialmente scremato microfiltrato – Sterilgarda,1 litro,1,al litro,0.89,0.890,2026-09-03,2026-09-16,"−46% SOLO CON LA CARTA BENNET CLUB, prima 1,65."
bennet0903,Bennet,Lavatrice,Detersivo liquido per lavatrice – Bennet,"2 l, 40 lavaggi",40,a lavaggio,3.98,0.100,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (1,99) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Legumi,Lenticchie o fagioli borlotti biologici – Bennet Bio,400 g,0.4,al kg,1.10,2.750,2026-09-03,2026-09-16,"E il peso col liquido di governo. Prezzo di listino, col buono sconto del 50% (0,55) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Manzo,Spezzatino di bovino adulto – Filiera Valore Bennet,al kg,1,al kg,11.99,11.990,2026-09-03,2026-09-16,
bennet0903,Bennet,Marmellata,Composta biologica – Bennet Bio,250 g,0.25,al kg,2.99,11.960,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (1,50) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Marmellata,Confettura di ciliegie Dolci Farciture – Bennet,700 g,0.7,al kg,2.85,4.071,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (1,43) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Marmellata,Confettura extra gusti classici – Zuegg,320 g,0.32,al kg,1.95,6.094,2026-09-03,2026-09-16,"−30%, prima 2,79."
bennet0903,Bennet,Marmellata,Crema di frutta 80% – d'Arbo,250 g,0.25,al kg,2.99,11.960,2026-09-03,2026-09-16,"−20%, prima 3,74."
bennet0903,Bennet,Marmellata,Fior di Frutta biologica – Rigoni di Asiago,260 g,0.26,al kg,2.99,11.500,2026-09-03,2026-09-16,"−25% SOLO CON LA CARTA BENNET CLUB, prima 3,99."
bennet0903,Bennet,Merendine,B-Ready – Nutella,220 g (10 pezzi),0.22,al kg,2.99,13.591,2026-09-03,2026-09-16,"−23%, prima 3,89."
bennet0903,Bennet,Merendine,Barrette Crunchy avena e miele – Nature Valley,210 g (10 pezzi),0.21,al kg,2.29,10.905,2026-09-03,2026-09-16,"−23%, prima 2,98."
bennet0903,Bennet,Merendine,Barrette alla frutta secca – Bennet,120 g,0.12,al kg,1.89,15.750,2026-09-03,2026-09-16,"Prezzo di listino. Buono sconto del 50% (0,95) da spendere dal 17 al 30 settembre."
bennet0903,Bennet,Merendine,Barrette di cereali – Bennet,126 g (6 pezzi),0.126,al kg,1.35,10.714,2026-09-03,2026-09-16,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,69."
bennet0903,Bennet,Merendine,Briochette – Pasquier,320 g (8 pezzi),0.32,al kg,1.29,4.031,2026-09-03,2026-09-16,"−35% SOLO CON LA CARTA BENNET CLUB, prima 1,99."
bennet0903,Bennet,Merendine,Brownies – Mr. Brownie,200 g,0.2,al kg,1.99,9.950,2026-09-03,2026-09-16,"−20%, prima 2,49."
bennet0903,Bennet,Merendine,Cornetto grano khorasan senza latte – Nattura,160 g,0.16,al kg,3.19,19.938,2026-09-03,2026-09-16,"−20%, prima 3,99."
bennet0903,Bennet,Merendine,Cornetto surgelato semplice o all'albicocca – Tre Marie,330 g,0.33,al kg,2.79,8.455,2026-09-03,2026-09-16,"−30%, prima 3,99. Surgelato."
bennet0903,Bennet,Merendine,Cornetto vegano cereali e mirtilli rossi al banco,al kg,1,al kg,12.50,12.500,2026-09-03,2026-09-16,"Prezzo del banco della pasticceria, non e un'offerta a tempo."
bennet0903,Bennet,Merendine,"Croissant bicolore o gran cornetto albicocca, crema o pistacchio al banco",al kg,1,al kg,10.50,10.500,2026-09-03,2026-09-16,"Prezzo del banco della pasticceria, non e un'offerta a tempo."
bennet0903,Bennet,Merendine,Croissant classico fresco – Santangelo,300 g (6 pezzi),0.3,al kg,2.59,8.633,2026-09-03,2026-09-16,"−21%, prima 3,29."
bennet0903,Bennet,Merendine,Croissant classico – Motta,300 g,0.3,al kg,2.39,7.967,2026-09-03,2026-09-16,"−35% SOLO CON LA CARTA BENNET CLUB, prima 3,69."
bennet0903,Bennet,Merendine,Croissant sapido proteico – Santangelo,330 g,0.33,al kg,2.95,8.939,2026-09-03,2026-09-16,"−22%, prima 3,79."
bennet0903,Bennet,Merendine,Crostatina mirtillo e farro biologica – Germinal,200 g (4 pezzi),0.2,al kg,2.39,11.950,2026-09-03,2026-09-16,"−25%, prima 3,19."
bennet0903,Bennet,Merendine,Donut alla fragola al banco,al kg,1,al kg,12.90,12.900,2026-09-03,2026-09-16,"Prezzo del banco della pasticceria, non e un'offerta a tempo."
bennet0903,Bennet,Merendine,Donuts – Cuorenero,111 g,0.111,al kg,1.99,17.928,2026-09-03,2026-09-16,"−26%, prima 2,69. Senza glutine."
bennet0903,Bennet,Merendine,Fetta al Latte – Kinder,140 g (5 pezzi),0.14,al kg,2.15,15.357,2026-09-03,2026-09-16,"−20%, prima 2,69."
